sensor_number;inverter_number;;Xsrn;Ysrn;Zsrn
375;10;;28,02;22,8041;0,6129
376;10;;30,02;22,8041;0,6129
377;10;;32,02;22,8041;0,6129
378;10;;34,02;22,8041;0,6129
379;10;;36,02;22,8041;0,6129
380;10;;38,02;22,8041;0,6129
381;10;;0,02;23,5702;1,2556
382;10;;2,02;23,5702;1,2556
383;10;;4,02;23,5702;1,2556
384;10;;6,02;23,5702;1,2556
385;10;;8,02;23,5702;1,2556
386;10;;10,02;23,5702;1,2556
387;10;;12,02;23,5702;1,2556
388;10;;14,02;23,5702;1,2556
389;10;;16,02;23,5702;1,2556
390;10;;18,02;23,5702;1,2556
391;10;;20,02;23,5702;1,2556
392;10;;22,02;23,5702;1,2556
393;10;;24,02;23,5702;1,2556
394;10;;26,02;23,5702;1,2556
395;10;;28,02;23,5702;1,2556
396;10;;30,02;23,5702;1,2556
397;10;;32,02;23,5702;1,2556
398;10;;34,02;23,5702;1,2556
399;10;;36,02;23,5702;1,2556
400;10;;38,02;23,5702;1,2556
401;11;;0,02;25,3362;0,6129
402;11;;2,02;25,3362;0,6129
403;11;;4,02;25,3362;0,6129
404;11;;6,02;25,3362;0,6129
405;11;;8,02;25,3362;0,6129
406;11;;10,02;25,3362;0,6129
407;11;;12,02;25,3362;0,6129
408;11;;14,02;25,3362;0,6129
409;11;;16,02;25,3362;0,6129
410;11;;18,02;25,3362;0,6129
411;11;;20,02;25,3362;0,6129
412;11;;22,02;25,3362;0,6129
413;11;;24,02;25,3362;0,6129
414;11;;26,02;25,3362;0,6129
415;11;;28,02;25,3362;0,6129
416;11;;30,02;25,3362;0,6129
417;11;;32,02;25,3362;0,6129
418;11;;34,02;25,3362;0,6129
419;11;;36,02;25,3362;0,6129
420;11;;38,02;25,3362;0,6129
421;11;;0,02;26,1023;1,2556
422;11;;2,02;26,1023;1,2556
423;11;;4,02;26,1023;1,2556
424;11;;6,02;26,1023;1,2556
425;11;;8,02;26,1023;1,2556
426;11;;10,02;26,1023;1,2556
427;11;;12,02;26,1023;1,2556
428;11;;14,02;26,1023;1,2556
429;11;;16,02;26,1023;1,2556
430;11;;18,02;26,1023;1,2556
431;11;;20,02;26,1023;1,2556
432;11;;22,02;26,1023;1,2556
433;11;;24,02;26,1023;1,2556
434;11;;26,02;26,1023;1,2556
435;11;;28,02;26,1023;1,2556
436;11;;30,02;26,1023;1,2556
437;11;;32,02;26,1023;1,2556
438;11;;34,02;26,1023;1,2556
439;11;;36,02;26,1023;1,2556
440;11;;38,02;26,1023;1,2556
441;12;;0,02;27,8683;0,6129
442;12;;2,02;27,8683;0,6129
